input_len,output_len,loss,bottleneck_size,bottleneck_activation,LSTM_type,num,smape,name
18,14,mae,250,relu,bi,17,13.108888164365426,18_14_250_relu
18,14,mae,250,relu,bi,18,13.570689958175503,18_14_250_relu
18,14,mae,250,relu,bi,19,13.130410898233956,18_14_250_relu
18,14,mae,250,relu,bi,20,13.124484794770934,18_14_250_relu
18,14,mae,250,relu,bi,21,13.550299269849715,18_14_250_relu
18,14,mae,250,relu,bi,22,13.325366868548091,18_14_250_relu
18,14,mae,250,relu,bi,23,13.3765570407419,18_14_250_relu
18,14,mae,250,relu,bi,24,13.088198616794639,18_14_250_relu
18,14,mae,250,relu,bi,25,13.074280250719697,18_14_250_relu
18,14,mae,250,relu,bi,26,13.238038352907237,18_14_250_relu
18,14,mae,250,relu,bi,27,13.096591533622147,18_14_250_relu
18,14,mae,250,relu,bi,28,13.343463512335143,18_14_250_relu
18,14,mae,250,relu,bi,29,13.268409669268861,18_14_250_relu
18,14,mae,250,relu,bi,,13.118773956677229,18_14_250_relu
18,20,mae,25,relu,bi,0,13.460964235589213,18_20_25_relu
18,20,mae,25,relu,bi,1,13.185654734125693,18_20_25_relu
18,20,mae,25,relu,bi,2,13.132436116552006,18_20_25_relu
18,20,mae,25,relu,bi,3,13.523638768334418,18_20_25_relu
18,20,mae,25,relu,bi,4,13.252781501747537,18_20_25_relu
18,20,mae,25,relu,bi,5,13.561123342994033,18_20_25_relu
18,20,mae,25,relu,bi,6,13.196633765551423,18_20_25_relu
18,20,mae,25,relu,bi,7,13.363437234915821,18_20_25_relu
18,20,mae,25,relu,bi,8,13.616005779457623,18_20_25_relu
18,20,mae,25,relu,bi,9,13.5440851429663,18_20_25_relu
18,20,mae,25,relu,bi,10,14.098972437051561,18_20_25_relu
18,20,mae,25,relu,bi,11,13.19149643736869,18_20_25_relu
18,20,mae,25,relu,bi,12,13.34742298794433,18_20_25_relu
18,20,mae,25,relu,bi,13,13.159547533033644,18_20_25_relu
18,20,mae,25,relu,bi,14,13.134628237941728,18_20_25_relu
18,20,mae,25,relu,bi,15,13.27453325357159,18_20_25_relu
18,20,mae,25,relu,bi,16,13.39876993653923,18_20_25_relu
18,20,mae,25,relu,bi,17,13.626883396396527,18_20_25_relu
18,20,mae,25,relu,bi,18,13.810404475547745,18_20_25_relu
18,20,mae,25,relu,bi,19,13.843614599402827,18_20_25_relu
18,20,mae,25,relu,bi,20,13.167143867555597,18_20_25_relu
18,20,mae,25,relu,bi,21,13.247214458346335,18_20_25_relu
18,20,mae,25,relu,bi,22,13.420127614227523,18_20_25_relu
18,20,mae,25,relu,bi,23,13.361644624706654,18_20_25_relu
18,20,mae,25,relu,bi,24,13.425350835129436,18_20_25_relu
18,20,mae,25,relu,bi,25,13.185733625915143,18_20_25_relu
18,20,mae,25,relu,bi,26,13.484031222396945,18_20_25_relu
18,20,mae,25,relu,bi,27,13.137117398567984,18_20_25_relu
18,20,mae,25,relu,bi,28,13.160177783404054,18_20_25_relu
18,20,mae,25,relu,bi,29,13.19951025211962,18_20_25_relu
18,20,mae,25,relu,bi,,13.181590784855253,18_20_25_relu
18,12,mae,50,relu,bi,0,13.431721508578818,18_12_50_relu
18,12,mae,50,relu,bi,1,13.180758362871785,18_12_50_relu
18,12,mae,50,relu,bi,2,13.655792358018093,18_12_50_relu
18,12,mae,50,relu,bi,3,13.16110944492792,18_12_50_relu
18,12,mae,50,relu,bi,4,13.191365862068897,18_12_50_relu
18,12,mae,50,relu,bi,5,13.298278699761115,18_12_50_relu
18,12,mae,50,relu,bi,6,13.46859657678128,18_12_50_relu
18,12,mae,50,relu,bi,7,13.48293647958201,18_12_50_relu
18,12,mae,50,relu,bi,8,13.217854691574694,18_12_50_relu
