input_len,output_len,aug,loss,bottleneck_size,bottleneck_activation,model_type,kernel_size,optimizer,learning_rate,num,line,smape,mase*
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,57.0,False,13.116772371864894,2.6850003851508304
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,58.0,False,13.087615004050647,2.6750861484347443
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,59.0,False,13.078824717526224,2.6727486598786783
18,14,0.95,mae,700,gelu,conv3,5,adam,0.0001,,False,13.089631795789748,2.67891123319606
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,0.0,False,13.154221454483345,2.6880845915792326
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,1.0,False,13.089420115933313,2.6781963610957766
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,2.0,False,13.051365578601784,2.6739827711793738
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,3.0,False,13.026846150352402,2.6708348808528752
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,4.0,False,13.014699811232667,2.6647691624849466
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,5.0,False,13.019447688590832,2.667767375312596
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,6.0,False,13.021701275521927,2.6677507338798376
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,7.0,False,13.016548763121467,2.665567032253168
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,8.0,False,13.029997956923587,2.66461119372138
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,9.0,False,13.01280202081348,2.6618443463912795
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,10.0,False,13.053226812129893,2.674114632808997
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,11.0,False,13.054639202558766,2.6757040524180407
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,12.0,False,13.048272914489832,2.668603300606209
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,13.0,False,13.06112982904544,2.671057793738789
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,14.0,False,13.044888230309324,2.6706564060349236
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,15.0,False,13.137846260277515,2.690382669068504
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,16.0,False,13.069581679321766,2.6753089762796334
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,17.0,False,13.042968059171185,2.669988555247849
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,18.0,False,13.046903648314636,2.670234383489062
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,19.0,False,13.023153497021706,2.6646485096620602
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,20.0,False,13.020030197800505,2.664627852778839
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,21.0,False,13.02334046188428,2.663167252609603
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,22.0,False,13.024455392090138,2.6630321349599217
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,23.0,False,13.031413230711046,2.6648333511585416
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,24.0,False,13.041027873041427,2.66389220457788
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,25.0,False,13.043579010947989,2.6643175465618842
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,26.0,False,13.062067851158238,2.6679676837524124
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,27.0,False,13.057593517730167,2.6694562056520827
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,28.0,False,13.051100431439965,2.663316216367628
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,29.0,False,13.052581917912695,2.665755578258532
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,30.0,False,13.177575476468627,2.698578981537932
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,31.0,False,13.094116220934945,2.6818753213902853
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,32.0,False,13.02807185061241,2.668591669251688
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,33.0,False,13.039142053842975,2.672021189895502
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,34.0,False,13.004887306490245,2.6604857184228687
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,35.0,False,13.004067344606135,2.6593448521173184
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,36.0,False,13.046190198606071,2.6690714274332583
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,37.0,False,13.030257730640173,2.6618701732127708
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,38.0,False,13.02868476525014,2.662009979545445
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,39.0,False,13.019484709813804,2.6565695548099537
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,40.0,False,13.034920557664616,2.662759803930609
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,41.0,False,13.071257241136308,2.670705572847534
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,42.0,False,13.06453272076442,2.669772853161331
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,43.0,False,13.050248529590863,2.6639456873600222
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,44.0,False,13.038310860637653,2.6607890228209063
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,45.0,False,13.160367401005375,2.6976516774180688
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,46.0,False,13.10533368796267,2.6832631202503285
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,47.0,False,13.055947052875402,2.6736940430316185
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,48.0,False,13.035290374288635,2.6668063063898866
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,49.0,False,13.048165144783713,2.6754692118007704
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,50.0,False,13.031328019627285,2.66934641453091
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,51.0,False,13.03289380659324,2.6683736679073795
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,52.0,False,13.019988951276494,2.6626180295767083
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,53.0,False,13.032996364696432,2.669449031197461
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,54.0,False,13.025751345120714,2.6616261013350826
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,55.0,False,13.054246459210976,2.6697246733961597
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,56.0,False,13.044312636763618,2.66454394344
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,57.0,False,13.070182537346025,2.673179622205643
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,58.0,False,13.049125357173414,2.6621622909934235
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,59.0,False,13.065370492075242,2.665867346951704
18,14,0.95,mae,700,relu,conv3,6,adam,0.0005,,False,12.99876060634881,2.661473078983311
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,0.0,False,13.138227808830685,2.692892067679188
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,1.0,False,13.060795790242086,2.681267639055208
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,2.0,False,13.040014229111295,2.676234530854321
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,3.0,False,13.027514981852967,2.673432010142424
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,4.0,False,13.03189948241889,2.670639378561332
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,5.0,False,13.03076247269409,2.668015280693084
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,6.0,False,13.041996070088302,2.6688629508822204
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,7.0,False,13.036111280356163,2.6655631224050134
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,8.0,False,13.0595104334844,2.670715140304064
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,9.0,False,13.048891944443511,2.668456637187942
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,10.0,False,13.090425562117716,2.6746600523053017
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,11.0,False,13.04822215429192,2.6647057637574743
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,12.0,False,13.055932655101786,2.6686156928729154
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,13.0,False,13.048068248167295,2.6652745882534177
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,14.0,False,13.052003734620786,2.665708005285752
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,15.0,False,13.17923968702871,2.6982003498934994
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,16.0,False,13.081060122477277,2.6803093863066723
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,17.0,False,13.048460994902324,2.6710367196302505
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,18.0,False,13.023209770466778,2.663734339603145
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,19.0,False,13.069097779195491,2.6787593732691217
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,20.0,False,13.039588310946465,2.6673610838026645
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,21.0,False,13.059914626020873,2.672395261259628
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,22.0,False,13.056016395314849,2.6706820316806237
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,23.0,False,13.037272826636839,2.6662550655233663
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,24.0,False,13.046668979817508,2.668384494694404
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,25.0,False,13.043558580036596,2.664156835832368
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,26.0,False,13.07744993665982,2.67127201735774
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,27.0,False,13.050670562650636,2.6651175288785565
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,28.0,False,13.061446325771925,2.6691929318527268
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,29.0,False,13.061598716327204,2.6661484304479632
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,30.0,False,13.158968177772467,2.6962244761688194
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,31.0,False,13.082691270707722,2.677025685092778
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,32.0,False,13.059548422380164,2.6784881073254256
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,33.0,False,13.049081089977415,2.67365732060191
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,34.0,False,13.040503360101154,2.6727771617000795
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,35.0,False,13.025703065121204,2.66914034096296
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,36.0,False,13.046539808459174,2.6700879778388487
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,37.0,False,13.039421717621709,2.670677556543448
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,38.0,False,13.010068958564643,2.6628364387815324
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,39.0,False,13.050098259379261,2.6710515830550388
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,40.0,False,13.036391525761168,2.6649146490751803
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,41.0,False,13.047383251778808,2.6660665593490247
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,42.0,False,13.060521053643715,2.665627008818433
18,14,0.95,mae,700,relu,conv3,3,adam,0.0005,43.0,False,13.038461497857478,2.66208362052072
