input_len,output_len,loss,bottleneck_size,bottleneck_activation,model_type,num,line,aug,smape,mase*
12,14,mae,100,tanh,bi,0.0,False,False,13.71999112608014,2.5600710252608287
12,14,mae,100,tanh,bi,1.0,False,False,13.450568010177063,2.546012207864074
12,14,mae,100,tanh,bi,2.0,False,False,13.562426369667747,2.5833912830191617
12,14,mae,100,tanh,bi,3.0,False,False,13.754903516240056,2.529766778191592
12,14,mae,100,tanh,bi,4.0,False,False,13.333819481851974,2.493015813820555
12,14,mae,100,tanh,bi,5.0,False,False,13.43617615032269,2.548213640983811
12,14,mae,100,tanh,bi,6.0,False,False,13.331700471125787,2.5185304801593147
12,14,mae,100,tanh,bi,7.0,False,False,13.602011644244616,2.5969868487785
12,14,mae,100,tanh,bi,8.0,False,False,13.390970466629907,2.5154049404324703
12,14,mae,100,tanh,bi,9.0,False,False,13.40981025297416,2.5133555884864647
12,14,mae,100,tanh,bi,,False,False,13.40857404727386,2.5300772182437448
12,14,mae,200,leaky,bi,0.0,False,False,13.32910814866792,2.505161369189117
12,14,mae,200,leaky,bi,1.0,False,False,13.408203711725989,2.5099946328369858
12,14,mae,200,leaky,bi,2.0,False,False,13.35663791825374,2.5071604064939024
12,14,mae,200,leaky,bi,3.0,False,False,13.26487213050806,2.5018641595127784
12,14,mae,200,leaky,bi,4.0,False,False,13.223881183312654,2.477255899275552
12,14,mae,200,leaky,bi,5.0,False,False,13.34232006877579,2.5171819078673687
12,14,mae,200,leaky,bi,6.0,False,False,13.50063769026728,2.554113488607476
12,14,mae,200,leaky,bi,7.0,False,False,13.135136222379836,2.4646575894537746
12,14,mae,200,leaky,bi,8.0,False,False,13.265055135050206,2.4924778844917257
12,14,mae,200,leaky,bi,9.0,False,False,13.285200195168589,2.502355427859314
12,14,mae,200,leaky,bi,,False,False,13.261222090756593,2.4944375882400505
12,14,mae,50,leaky,bi,0.0,False,False,13.405300277227841,2.5323715928347243
12,14,mae,50,leaky,bi,1.0,False,False,13.445698856411544,2.544039651621804
12,14,mae,50,leaky,bi,2.0,False,False,13.662303667196884,2.5220174847701737
12,14,mae,50,leaky,bi,3.0,False,False,13.194566903308823,2.4810890400416987
12,14,mae,50,leaky,bi,4.0,False,False,13.441853074028682,2.5099737566816507
12,14,mae,50,leaky,bi,5.0,False,False,13.459682463521359,2.5304536310894954
12,14,mae,50,leaky,bi,6.0,False,False,13.265014571787608,2.4862297873580816
12,14,mae,50,leaky,bi,7.0,False,False,13.724053917299011,2.5582281990330573
12,14,mae,50,leaky,bi,8.0,False,False,13.366513567878853,2.5420593170904096
12,14,mae,50,leaky,bi,9.0,False,False,13.598800737312567,2.559109285869416
12,14,mae,50,leaky,bi,,False,False,13.391856432599395,2.5231619769958336
12,18,mae,250,relu,bi,0.0,False,False,13.384582206791432,2.4916158702506834
12,18,mae,250,relu,bi,1.0,False,False,13.26259016420448,2.491926539547888
12,18,mae,250,relu,bi,2.0,False,False,13.271519054511742,2.492450307842861
12,18,mae,250,relu,bi,3.0,False,False,13.414534272617226,2.518420328932749
12,18,mae,250,relu,bi,4.0,False,False,13.551465904618244,2.5717269450078017
12,18,mae,250,relu,bi,5.0,False,False,13.391711306282673,2.5279897494058967
12,18,mae,250,relu,bi,6.0,False,False,13.371134575333953,2.5022893116758307
12,18,mae,250,relu,bi,7.0,False,False,13.421956459220908,2.538529546881464
12,18,mae,250,relu,bi,8.0,False,False,13.44273598615535,2.5494823297075206
12,18,mae,250,relu,bi,9.0,False,False,13.294957983609436,2.500728614090553
12,18,mae,250,relu,bi,10.0,False,False,13.438194192602287,2.5181646895840544
12,18,mae,250,relu,bi,11.0,False,False,13.469941866949489,2.5659686420670917
12,18,mae,250,relu,bi,12.0,False,False,13.759638853915277,2.6403003414581314
12,18,mae,250,relu,bi,13.0,False,False,13.817130248373141,2.657073287042846
12,18,mae,250,relu,bi,14.0,False,False,13.445881917305536,2.5416040174879684
12,18,mae,250,relu,bi,15.0,False,False,13.555460627188443,2.5830964735884305
12,18,mae,250,relu,bi,16.0,False,False,13.315880630156766,2.5146532254642824
12,18,mae,250,relu,bi,17.0,False,False,13.239864447867113,2.482327132804148
12,18,mae,250,relu,bi,18.0,False,False,13.407546178142063,2.521206218226088
12,18,mae,250,relu,bi,19.0,False,False,13.450118904153161,2.51846199936598
12,18,mae,250,relu,bi,20.0,False,False,13.278777481170426,2.505618481359372
12,18,mae,250,relu,bi,21.0,False,False,13.310037940235336,2.4889064540130352
12,18,mae,250,relu,bi,22.0,False,False,13.487848773167665,2.522956597633355
12,18,mae,250,relu,bi,23.0,False,False,13.41674796105989,2.5327885625351203
12,18,mae,250,relu,bi,24.0,False,False,13.308429468163931,2.5194401368285866
12,18,mae,250,relu,bi,25.0,False,False,13.432808282465642,2.5514843939700316
12,18,mae,250,relu,bi,26.0,False,False,13.334799815972286,2.499672236595116
12,18,mae,250,relu,bi,27.0,False,False,13.464458350592578,2.5551340355922214
12,18,mae,250,relu,bi,28.0,False,False,13.444127147877248,2.5519093843226868
12,18,mae,250,relu,bi,29.0,False,False,13.327152482819905,2.514113963200348
12,18,mae,250,relu,bi,,False,False,13.30331247251081,2.5142929087006647
12,14,mae,250,relu,bi,0.0,False,False,13.287377836032846,2.4899630916609725
12,14,mae,250,relu,bi,1.0,False,False,13.403729287749707,2.5464829665819173
12,14,mae,250,relu,bi,2.0,False,False,13.224609621925975,2.483325119991442
12,14,mae,250,relu,bi,3.0,False,False,13.273005944202009,2.5027945161391107
12,14,mae,250,relu,bi,4.0,False,False,13.388426891957028,2.5389916653188664
12,14,mae,250,relu,bi,5.0,False,False,13.486699828506895,2.560752314057277
12,14,mae,250,relu,bi,6.0,False,False,13.512031917903705,2.5710128936372287
12,14,mae,250,relu,bi,7.0,False,False,13.35690167293036,2.51994740345002
12,14,mae,250,relu,bi,8.0,False,False,13.150496497698406,2.4766679330143657
12,14,mae,250,relu,bi,9.0,False,False,13.526090253914258,2.5447587889289065
12,14,mae,250,relu,bi,10.0,False,False,13.409087521795405,2.5158605919990804
12,14,mae,250,relu,bi,11.0,False,False,13.469687029826302,2.564665706913973
12,14,mae,250,relu,bi,12.0,False,False,13.411362322950685,2.5215176497925587
12,14,mae,250,relu,bi,13.0,False,False,13.399298313238807,2.5382059912086965
12,14,mae,250,relu,bi,14.0,False,False,13.262117090734105,2.4960853081109904
12,14,mae,250,relu,bi,15.0,False,False,13.386950856762883,2.5325774746031557
12,14,mae,250,relu,bi,16.0,False,False,13.323887775611007,2.5271820944596532
12,14,mae,250,relu,bi,17.0,False,False,13.58044532891592,2.562934722558342
12,14,mae,250,relu,bi,18.0,False,False,13.466983734280026,2.528818799689157
12,14,mae,250,relu,bi,19.0,False,False,13.447388739579262,2.537724591639175
12,14,mae,250,relu,bi,20.0,False,False,13.485432710950036,2.5445130588418383
12,14,mae,250,relu,bi,21.0,False,False,13.50277782281738,2.57565745899788
12,14,mae,250,relu,bi,22.0,False,False,13.346248329032099,2.495581332062876
12,14,mae,250,relu,bi,23.0,False,False,13.19633025748365,2.477475515278917
12,14,mae,250,relu,bi,24.0,False,False,13.500942415299795,2.5628955320098927
12,14,mae,250,relu,bi,25.0,False,False,13.347473018862155,2.5307009048799056
12,14,mae,250,relu,bi,26.0,False,False,13.482972456841551,2.543118777256914
12,14,mae,250,relu,bi,27.0,False,False,13.356874034588456,2.5321179829827827
12,14,mae,250,relu,bi,28.0,False,False,13.394851217490293,2.513520271670895
12,14,mae,250,relu,bi,29.0,False,False,13.335236590316345,2.508889657963292
12,14,mae,250,relu,bi,,False,False,13.341430408106856,2.5226766005618764
12,14,mae,25,tanh,bi,0.0,False,False,13.327965635802233,2.4951070687309573
12,14,mae,25,tanh,bi,1.0,False,False,13.520241511130676,2.580446306623041
12,14,mae,25,tanh,bi,2.0,False,False,13.783944006742587,2.56429342682191
12,14,mae,25,tanh,bi,3.0,False,False,13.646606327558965,2.594163538930492
12,14,mae,25,tanh,bi,4.0,False,False,13.568570129681088,2.5231333116697807
12,14,mae,25,tanh,bi,5.0,False,False,13.459696981401123,2.55180176340846
12,14,mae,25,tanh,bi,6.0,False,False,13.44106456964928,2.5336595016215404
12,14,mae,25,tanh,bi,7.0,False,False,13.510098049364913,2.572331691574005
12,14,mae,25,tanh,bi,8.0,False,False,13.31084486197024,2.5171362510860025
12,14,mae,25,tanh,bi,9.0,False,False,13.378756242179762,2.5260545739242684
