input_len,output_len,aug,loss,bottleneck_size,bottleneck_activation,model_type,kernel_size,optimizer,learning_rate,num,line,smape,mase*
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,0,False,13.25268751777588,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,1,False,13.255001600557954,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,2,False,13.269983348556622,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,3,False,13.258782698432217,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,4,False,13.247424851147139,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,5,False,13.247406803536679,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,6,False,13.2657877360459,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,7,False,13.238863155737524,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,8,False,13.254933480031989,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,9,False,13.259540150499948,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,10,False,13.24298706184776,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,11,False,13.270208010954565,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,12,False,13.272624273398831,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,13,False,13.25558567841938,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,14,False,13.257183454704192,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,15,False,13.248539972900643,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,16,False,13.250890223050337,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,17,False,13.262161205354415,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,18,False,13.291096666566329,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,19,False,13.24861973662752,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,20,False,13.263925813790248,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,21,False,13.278261656128516,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,22,False,13.267490839182477,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,23,False,13.250869696022178,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,24,False,13.270989136132892,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,25,False,13.26513230538119,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,26,False,13.269184079156117,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,27,False,13.295392442714782,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,28,False,13.287394211626316,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,29,False,13.271728964501465,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,30,False,13.280064882772662,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,31,False,13.241215937813035,227007529043402.25
12,12,0.95,mae,700,relu,conv4,5,adam,0.001,32,False,13.25694798586556,227007529043402.25
